,ID,Name,active,Product Type,Sale Price,Cost,Barcode,Description
0,PA_00000,"#""JUMBO"" Bok Choy",False,Service,0.0,0.0,00000_20161111,"""JUMBO"" Bok Choy (20lb) Produce of U.S.A"
1,PA_00001,#Sundries,True,Service,0.0,0.0,00001_20161111,Sundries
2,PA_00002,#Temperature Recorder,False,Service,10.0,0.0,00002_20161111,Temperature Recorder
3,PA_00003,#Unloading Labor,False,Service,250.0,0.0,00003_20161111,Unloading Labor
4,PA_00004,Cold Storage-Beto,True,Service,25.0,0.0,00004_20161111,Term: 7 days
5,PA_00005,Cold Storage-GBP,True,Service,20.0,0.0,00005_20161111,Term: 14days
6,PA_00006,Delivery Charge,True,Service,15.0,0.0,00006_20161111,Delivery Charge
7,PA_00007,Empty Pallet,True,Service,5.0,2.5,00007_20161111,Empty Pallet
8,PA_00008,In & Out Handling- GBP,True,Service,10.0,0.0,00008_20161111,In & Out Handling Charge
9,PA_00009,In & Out Handling Charge- Beto,True,Service,15.0,0.0,00009_20161111,In & Out Handling Charge
10,PA_00010,Repacking Service,True,Service,0.0,0.0,00010_20161111,REPACKING
11,PA_00011,"""BIG""  Bok Choy",True,Stockable Product,0.0,0.0,00011_20161111,"""BIG"" BOK CHOY (40lb) Produce of U.S.A*********dont use long life"
12,PA_00012,"""BIG""  Bok Choy(JR)",True,Stockable Product,0.0,0.0,00012_20161111,"""BIG""  Bok Choy jr (20lb) Produce of U.S.A"
13,PA_00013,"""BIG"" BOK CHOY 20LB",False,Stockable Product,0.0,0.0,00013_20161111,"""BIG"" BOK CHOY(20lb) Produce of U.S.A*"
14,PA_00014,##Almond Dessert,False,Stockable Product,0.0,0.0,00014_20161111,Almond Dessert 6/32 oz ___ Produce Of U.S.A
15,PA_00015,##Black Sesame Dessert,False,Stockable Product,0.0,0.0,00015_20161111,Black Sesame Dessert 6/32 oz ___ Produce Of U.S.A
16,PA_00016,##Egg Tofu,False,Stockable Product,0.0,0.0,00016_20161111,Egg Tofu
17,PA_00017,##Hon's Seitan,False,Stockable Product,0.0,0.0,00017_20161111,Hon's Seitan 12pk*8oz ____ Produce Of U.S.A
18,PA_00018,##Hon's Seitan(C),False,Stockable Product,0.0,0.0,00018_20161111,Hon's Seitan(Curry flavor) 16 tray*10.6oz __(__/__) Produce Of U.S.A
19,PA_00019,##Hon's Seitan(S),False,Stockable Product,0.0,0.0,00019_20161111,Hon's Seitan(Sweet/sour flavor) 16 tray*10.6oz __(__/__) Produce Of U.S.A
20,PA_00020,#Apricots,False,Stockable Product,0.0,0.0,00020_20161111,Apricots (12ct) __ Produce of U.S.A.
21,PA_00021,#Asia Pear,False,Stockable Product,0.0,0.0,00021_20161111,Asia Pear(CALIFORNIA) 12CT
22,PA_00022,#AVACADOS,False,Stockable Product,0.0,0.0,00022_20161111,AVACADOS(36CT) __ Produce of U.S.A
23,PA_00023,#Baby Carrot,False,Stockable Product,0.0,0.0,00023_20161111,Baby Carrot (30/1) ___ Produce of U.S.A
24,PA_00024,#Baby potato,False,Stockable Product,0.0,0.0,00024_20161111,Baby potato (50lb) ___ Produce of U.S.A
25,PA_00025,#bailing murshroom,False,Stockable Product,0.0,0.0,00025_20161111,bailing murshroom
26,PA_00026,#Banana Regular,False,Stockable Product,0.0,nan,00026_20161111,Banana plamtain __  Produce of U.S.A.
27,PA_00027,#Blue Berry,False,Stockable Product,0.0,0.0,00027_20161111,Blue Berry __ Produce of U.S.A
28,PA_00028,#Boiled Bamboo,False,Stockable Product,0.0,0.0,00028_20161111,Boiled Bamboo ___  (case)
29,PA_00029,#Bok Choy 30lb,False,Stockable Product,0.0,0.0,00029_20161111,Bok Choy (30LB) __  Produce of U.S.A.
30,PA_00030,#Bok Choy Long Sum,False,Stockable Product,0.0,0.0,00030_20161111,Long Bok Choy Sum (30lb) ____ Produce of U.S.A.
31,PA_00031,#Buchu,False,Stockable Product,0.0,0.0,00031_20161111,Buchu(50 BUNCH) Produce Of U.S.A
32,PA_00032,#Cai Con,False,Stockable Product,0.0,0.0,00032_20161111,Cai Con(20lb)
